Year,Mon,Starts
1992,1,67.9
1992,2,72.6
1992,3,97.7
1992,4,103.9
1992,5,97.1
1992,6,109.2
1992,7,101.1
1992,8,93
1992,9,99.2
1992,10,97.1
1992,11,76.4
1992,12,79.5
1993,1,67.1
1993,2,73.1
1993,3,99.1
1993,4,107.3
1993,5,101.7
1993,6,117.8
1993,7,104.5
1993,8,111.9
1993,9,111.5
1993,10,107
1993,11,98.1
1993,12,100.1
1994,1,80.7
1994,2,81.7
1994,3,126.4
1994,4,127.6
1994,5,131.4
1994,6,138.8
1994,7,114.8
1994,8,131.5
1994,9,127.2
1994,10,117
1994,11,100.5
1994,12,94.2
1995,1,78
1995,2,80.4
1995,3,111.5
1995,4,109.7
1995,5,122.8
1995,6,129.3
1995,7,115.6
1995,8,133.5
1995,9,124.1
1995,10,122.2
1995,11,107.8
1995,12,97.4
1996,1,88.3
1996,2,96
1996,3,120.4
1996,4,140.1
1996,5,140.5
1996,6,131.4
1996,7,135.1
1996,8,129.1
1996,9,121.1
1996,10,123.7
1996,11,100.7
1996,12,99.2
1997,1,88.1
1997,2,94.1
1997,3,120.1
1997,4,137.2
1997,5,131.6
1997,6,133.6
1997,7,133.7
1997,8,126
1997,9,134.4
1997,10,135.5
1997,11,100.4
1997,12,106.4
1998,1,96.2
1998,2,107.4
1998,3,140.9
1998,4,146.3
1998,5,138.2
1998,6,153.4
1998,7,149.3
1998,8,144.7
1998,9,141.7
1998,10,149.8
1998,11,119.9
1998,12,124.5
1999,1,105.7
1999,2,114.7
1999,3,154.6
1999,4,151.8
1999,5,145.1
1999,6,169.3
1999,7,149.1
1999,8,151.9
1999,9,137.3
1999,10,137.6
1999,11,125.6
1999,12,120.9
2000,1,107.3
2000,2,121.8
2000,3,153.7
2000,4,138.9
2000,5,148.9
2000,6,155.1
2000,7,129.8
2000,8,146.8
2000,9,131.4
2000,10,134.8
2000,11,121
2000,12,102.9
2001,1,117
2001,2,114.3
2001,3,147.7
2001,4,148.6
2001,5,159.8
2001,6,153.9
2001,7,140.6
2001,8,151.4
2001,9,125.2
2001,10,140.2
2001,11,124.4
2001,12,113.6
2002,1,115.7
2002,2,122.5
2002,3,143.2
2002,4,156
2002,5,164.2
2002,6,158
2002,7,159.3
2002,8,153.7
2002,9,149.5
2002,10,162.9
2002,11,126.8
2002,12,135.8
2003,1,126.4
2003,2,128.5
2003,3,148.4
2003,4,167.6
2003,5,169.5
2003,6,175.8
2003,7,173
2003,8,169.9
2003,9,169.1
2003,10,182.8
2003,11,130.5
2003,12,147.9
2004,1,132
2004,2,137.1
2004,3,190.7
2004,4,192.5
2004,5,188.4
2004,6,197.1
2004,7,185.9
2004,8,185.2
2004,9,174.9
2004,10,174.5
2004,11,156.4
2004,12,155.2
2005,1,139.7
2005,2,149.4
2005,3,190.5
2005,4,193.2
2005,5,193.1
2005,6,211.9
2005,7,185.5
2005,8,208
2005,9,193.7
2005,10,176
2005,11,162.9
2005,12,151.3
2006,1,149.1
2006,2,152
2006,3,191.3
2006,4,164.9
2006,5,184.5
2006,6,180.2
2006,7,145.5
2006,8,158.8
2006,9,133.6
2006,10,131.9
2006,11,110.4
2006,12,113.1
